state_name,district_name,total_no_of_active_workers,total_households_worked,approved_labour_budget,total_expenditure,wages,active_worker_ratio,job_card_activation_rate,work_completion_rate,average_days_employment_per_household
TAMIL NADU,TIRUVANNAMALAI,641750,421476,11000000,33579.1101870638,25615.0453599998,0.9547663184329782,0.9471132359623986,0.5766408643767135,29
TAMIL NADU,SALEM,420293,192678,3000000,18182.876013975,10639.6267761,0.7984395689152401,0.782366020157845,0.6570795319828875,19
TAMIL NADU,NAMAKKAL,228145,112345,2100000,11161.996005653,8597.1430965,0.8228795464054363,0.8265526174211428,0.6176520413349145,26
TAMIL NADU,DHARMAPURI,279973,187645,4100000,16119.2999145,12680.6855323,0.8836527414813973,0.8762017638402017,0.6028980697970245,23
TAMIL NADU,ERODE,160847,76580,2000000,8748.486918738,6342.257525,0.7260830508245044,0.7300274466213262,0.6423801369863014,27
TAMIL NADU,COIMBATORE,84468,33321,600000,4882.076559328,2958.4222651,0.6847775859133691,0.6848047045157544,0.6676942046855734,28
TAMIL NADU,THE NILGIRIS,40588,13317,400000,1794.2273198,1234.3001163,0.5908091820841642,0.5672596726322712,0.6213573619631901,27
TAMIL NADU,THANJAVUR,358253,208966,3300000,16998.014705003,13025.1736284,0.9259025697619423,0.9123561414166783,0.5653452406883032,24
TAMIL NADU,NAGAPATTINAM,164391,64457,1100000,4720.0506828,2928.7456537,0.9156640598890449,0.8935799255885346,0.7093733261917514,15
TAMIL NADU,TIRUVARUR,263308,86440,1300000,6518.461401301,3414.1800637,0.924728086225728,0.9080217640379586,0.6637303436225975,13
TAMIL NADU,TIRUCHIRAPPALLI,376035,238785,3300000,16868.311846037,12981.0868002,0.929199603644298,0.9324848358212624,0.6580494321977288,19
TAMIL NADU,KARUR,156486,83504,2200000,8766.4930384,7662.6911516,0.8747121296813862,0.870941682800117,0.645877378435518,30
TAMIL NADU,PERAMBALUR,176346,94982,1900000,6351.33990006,5022.5542656,0.8854844540853217,0.8610113829283905,0.4760960564000881,18
TAMIL NADU,PUDUKKOTTAI,426996,232427,6000000,23219.9825260009,17554.2144700009,0.8936691216636214,0.8821108878061581,0.48626977152899825,28
TAMIL NADU,MADURAI,312579,222246,5400000,25212.0202011651,17953.8133721001,0.8885714529375144,0.9099503366374303,0.6352987889616836,29
TAMIL NADU,THENI,104829,55910,1100000,4788.0963047,3664.7393879,0.7546106336111951,0.7354437632008757,0.6106194690265486,21
TAMIL NADU,DINDIGUL,346748,206832,4600000,27175.7068495,20413.9373138,0.9100304701216968,0.8995266957446675,0.6237557507319114,32
TAMIL NADU,RAMANATHAPURAM,246794,156492,3600000,15675.00454,11325.7000613,0.9018073125634898,0.8909492706486193,0.5602621743134175,29
TAMIL NADU,VIRUDHUNAGAR,268526,153532,4900000,15833.4046507,12226.5449897,0.8879270151676978,0.8754405921558575,0.4615013042218143,29
TAMIL NADU,SIVAGANGAI,222699,145323,4200000,20737.1485573998,13266.7403886997,0.9252639319946653,0.9196158852567724,0.3893601097667457,33
TAMIL NADU,TIRUNELVELI,114875,51140,1800000,7668.48681670597,4552.53838819997,0.8173247954464603,0.8059229846548372,0.558534514133204,30
TAMIL NADU,THOOTHUKKUDI,180782,115296,3100000,12959.6589895,9233.0220769,0.8387749326083023,0.8786054156933991,0.4542688548773742,29
TAMIL NADU,KANNIYAKUMARI,49868,24376,600000,3530.953055106,2657.6179952,0.5179960735839453,0.5109408204005409,0.7502935420743639,36
TAMIL NADU,KRISHNAGIRI,288674,179207,4400000,19864.1062251,13973.89914,0.8591769373402105,0.863897772164145,0.5806884480746791,28
TAMIL NADU,ARIYALUR,250562,147765,2200000,10553.2408957,7704.2568182,0.9508669533108927,0.9386316691281976,0.6409257561869844,18
TAMIL NADU,TIRUPPUR,157470,73140,2500000,9576.670042918,7550.4035383,0.6924436705187061,0.7537860145161199,0.6192075218267293,36
TAMIL NADU,CHENGALPATTU,231385,139359,3000000,15930.9089335899,13196.9675956999,0.8566134549600912,0.8911543302002872,0.5981472511503996,31
TAMIL NADU,Ranipet,222131,134958,2800000,13816.7523523,11288.8159408,0.8840295935464101,0.8651024337106402,0.6272594877066735,29
TAMIL NADU,TIRUPATHUR,152311,92970,1900000,7655.09374860002,6315.51896920002,0.9061869716026393,0.9109721519338357,0.6924461839530333,24
TAMIL NADU,TENKASI,186439,84985,2000000,7693.84823487999,5545.6760181,0.8675132147111376,0.8468097690810065,0.6603049476195415,22
TAMIL NADU,KALLAKURICHI,512461,243090,3100000,24520.3692758,15982.667511,0.9553104389356379,0.9382310124993726,0.5859780727062897,22
TAMIL NADU,MAYILADUTHURAI,224721,96379,1400000,5669.2381775,3703.7545176,0.9577879595098562,0.9446030839520274,0.5178469717106512,14
TRIPURA,WEST TRIPURA,139954,74133,3765576,7677.608133684,5374.4686056,0.8776086084077456,0.8839218745312172,0.40088264433036114,32
TRIPURA,SOUTH TRIPURA,185008,87104,5065374,9594.80592107499,7709.65732589999,0.9418568541305001,0.9233349626690436,0.32063160642046196,38
TRIPURA,NORTH TRIPURA,132211,65053,3661900,6400.05147749998,4962.55974759998,0.9218256486058721,0.8995511057839197,0.5683163973974705,34
TRIPURA,DHALAI,165359,90567,7319336,13282.0083104001,11253.4617848001,0.9752758756952186,0.9693180549494047,0.532633371169126,53
TRIPURA,Unakoti,94977,46592,2442219,4836.6929,3920.7634178,0.9259363971376762,0.9107461208319577,0.4849169435215947,37
TRIPURA,Khowai,118772,64328,4225555,7759.6825552,6027.8918313,0.9450049330065879,0.9377937517279513,0.45150081324855834,39
TRIPURA,Sepahijala,135827,65383,3155814,8010.91337710001,5603.18077910001,0.9244208205156127,0.9229271644525882,0.5252875661858681,37
TRIPURA,Gomati,169254,80356,5364226,10442.071254,8178.7233462,0.9358339922259882,0.9189950292632085,0.5774967247808123,43
